;;;;;;;;
Humana Inc.;акции;HUM_SPB;0.35;;нет;нет;нет;да
Mondelez International, Inc.;акции;MDLZ_SPB;0.35;;нет;нет;нет;да
Dollar General Corporation;акции;DG_SPB;0.35;;нет;нет;нет;да
ConocoPhillips;акции;COP_SPB;0.35;;нет;нет;нет;да
CME Group Inc.;акции;CME_SPB;0.35;;нет;нет;нет;да
Intuit Inc.;акции;INTU_SPB;0.35;;нет;нет;нет;да
U.S. Bancorp;акции;USB_SPB;0.4;;нет;нет;нет;да
The Estee Lauder Companies Inc.;акции;EL_SPB;0.35;;нет;нет;нет;да
Illumina, Inc.;акции;ILMN_SPB;0.35;;нет;нет;нет;да
Automatic Data Processing, Inc.;акции;ADP_SPB;0.35;;нет;нет;нет;да
Stryker Corporation;акции;SYK_SPB;0.35;;нет;нет;нет;да
Northrop Grumman Corporation;акции;NOC_SPB;0.35;;нет;нет;нет;да
Crown Castle International Corp.;акции;CCI_SPB;0.35;;нет;нет;нет;да
Autodesk, Inc.;акции;ADSK_SPB;0.4;;нет;нет;нет;да
Equinix, Inc.;акции;EQIX_SPB;0.35;;нет;нет;нет;да
Global Payments Inc.;акции;GPN_SPB;0.35;;нет;нет;нет;да
Colgate-Palmolive Company;акции;CL_SPB;0.35;;нет;нет;нет;да
The PNC Financial Services Group, Inc.;акции;PNC_SPB;0.4;;нет;нет;нет;да
GAZ-30;Е/О;XS2124187571;0.52;;да;нет;да;нет
LUK-30;Е/О;XS2159874002;0.52;;да;нет;да;нет
ВТБ Б-1-30;Облигации;RU000A100EN9;0.4;;да;нет;да;нет
ВТБ Б-1-47;Облигации;RU000A101491;0.4;;да;нет;да;нет
ВТБ Б-1-51;Облигации;RU000A101F52;0.4;;да;нет;да;нет
ВТБ Б-1-55;Облигации;RU000A101GV5;0.4;;да;нет;да;нет
ВТБ Б-1-56;Облигации;RU000A101GX1;0.4;;да;нет;да;нет
ВТБ Б-1-58;Облигации;RU000A101J90;0.4;;да;нет;да;нет
ВТБ Б-1-59;Облигации;RU000A101JA3;0.4;;да;нет;да;нет
ВТБ Б-1-60;Облигации;RU000A101KC7;0.4;;да;нет;да;нет
ВТБ Б-1-61;Облигации;RU000A101LL6;0.4;;да;нет;да;нет
ВТБ Б-1-65;Облигации;RU000A101KE3;0.4;;да;нет;да;нет
ВТБ Б-1-66;Облигации;RU000A101MW1;0.4;;да;нет;да;нет
ВТБ Б-1-67;Облигации;RU000A101MY7;0.4;;да;нет;да;нет
ВТБ Б-1-68;Облигации;RU000A101NX7;0.4;;да;нет;да;нет
ВТБ Б-1-69;Облигации;RU000A101P01;0.4;;да;нет;да;нет
ВТБ Б-1-70;Облигации;RU000A101PR4;0.4;;да;нет;да;нет
ВТБ Б-1-71;Облигации;RU000A101PS2;0.4;;да;нет;да;нет
ВТБ Б-1-72;Облигации;RU000A101PW4;0.4;;да;нет;да;нет
ВТБ Б-1-73;Облигации;RU000A101PX2;0.4;;да;нет;да;нет
ВТБ Б-1-74;Облигации;RU000A101S57;0.4;;да;нет;да;нет
ВТБ Б-1-75;Облигации;RU000A101S65;0.4;;да;нет;да;нет
ВТБ Б-1-76;Облигации;RU000A101SK3;0.4;;да;нет;да;нет
ВТБ Б-1-77;Облигации;RU000A101SL1;0.4;;да;нет;да;нет
ВТБ Б-1-78;Облигации;RU000A101SJ5;0.4;;да;нет;да;нет
ВТБ Б-1-79;Облигации;RU000A101SN7;0.4;;да;нет;да;нет
ВТБ Б-1-80;Облигации;RU000A101SP2;0.4;;да;нет;да;нет
ВТБ Б-1-81;Облигации;RU000A101TF1;0.4;;да;нет;да;нет
ВТБ Б-1-82;Облигации;RU000A101TG9;0.4;;да;нет;да;нет
ВТБ Б-1-83;Облигации;RU000A101TH7;0.4;;да;нет;да;нет
ВТБ Б-1-84;Облигации;RU000A101TJ3;0.4;;да;нет;да;нет
ВТБ Б-1-86;Облигации;RU000A101TN5;0.4;;да;нет;да;нет
ВТБ Б-1-88;Облигации;RU000A101V78;0.4;;да;нет;да;нет
ВТБ Б-1-89;Облигации;RU000A101V86;0.4;;да;нет;да;нет
ВТБ Б-1-87;Облигации;RU000A101TM7;0.4;;да;нет;да;нет
ВТБ Б-1-90;Облигации;RU000A101V94;0.4;;да;нет;да;нет
ВТБ Б-1-92;Облигации;RU000A101VB6;0.4;;да;нет;да;нет
ВТБ Б-1-91;Облигации;RU000A101VA8;0.4;;да;нет;да;нет
Royal Caribbean Cruises Ltd.;акции;RCL_SPB;0.45;;нет;нет;нет;да
Harley-Davidson, Inc.;акции;HOG_SPB;0.4;;нет;нет;нет;да
Ralph Lauren Corporation Class A;акции;RL_SPB;0.4;;нет;нет;нет;да
ВТБ ИП «RUSAL» (СФОВТБИП03);Облигации;RU000A101ZJ0;0,55;;да;нет;да;нет
ВТБ Б-1-94;Облигации;RU000A101VD2;0,4;;да;нет;да;нет
ВТБ Б-1-93;Облигации;RU000A101VC4;0,4;;да;нет;да;нет
ВТБ Б-1-101;Облигации;RU000A101XX6;0,4;;да;нет;да;нет
ВТБ Б-1-100;Облигации;RU000A101XW8;0,4;;да;нет;да;нет
The Gap, Inc.;акции;GPS_SPB;0.45;;нет;нет;нет;да
Marriott International, Inc. Class A;акции;MAR_SPB;0.4;;нет;нет;нет;да
VTBM ETF;пай;VTBM;0.2;;да;нет;нет;нет
VTBU ETF;пай;VTBU;0.39;1;да;да;нет;нет
ВТБ Б-1-103;Облигации;RU000A101XZ1;0.4;;да;нет;да;нет
ВТБ Б-1-104;Облигации;RU000A101Y00;0.4;;да;нет;да;нет
Bayerische Motoren Werke Aktiengesellschaft;акции;BMW@DE;0.35;;нет;нет;нет;да
Infineon Technologies AG;акции;IFX@DE;0.35;;нет;нет;нет;да
MERCK Kommanditgesellschaft auf Aktien;акции;MRK@DE;0.35;;нет;нет;нет;да
Henkel AG & Co. KGaA;акции;HEN3@DE;0.35;;нет;нет;нет;да
